state,scenario,year,hydro,gas_ct,gas_cc,coal,nuclear,geothermal,biomass,rooftop_pv,utility_pv,csp,onshore_wind,offshore_wind,load
South Dakota,25,2016,5109845.50,8632.41,0.00,927109.70,0.00,0.00,0.00,3272.54,0.00,0.00,15802124.89,0.00,12673265.33
Tennessee,25,2016,9100500.00,148011.84,0.00,38909740.73,26861271.55,0.00,1452911.54,4519.90,0.00,0.00,111453.26,0.00,150935895.64
Texas,25,2016,1413257.72,16842226.64,108966841.55,146903869.63,38418416.64,0.00,322560.72,410715.67,3710691.17,0.00,53589315.60,0.00,398480594.90
Utah,25,2016,720236.78,26758.86,540436.50,35098232.45,0.00,1265833.25,11068.26,5627.95,0.00,0.00,2451060.19,0.00,31553992.01
Vermont,25,2016,34551249.26,0.00,0.00,0.00,3999942.14,0.00,521717.15,10209.52,0.00,0.00,15843.01,0.00,7302847.33
Virginia,25,2016,1036922.50,109876.86,3006337.60,24133655.76,27130042.37,0.00,1344371.39,17823.02,0.00,0.00,5175090.56,0.00,130148432.46
Washington,25,2016,78095542.22,0.00,398916.76,10412398.80,8940582.14,0.00,1310733.76,420888.64,0.00,0.00,11047719.31,0.00,91767285.92
West Virginia,25,2016,693700.00,49993.80,0.00,107948043.36,0.00,0.00,0.00,673.43,0.00,0.00,4511967.51,0.00,42096336.53
Wisconsin,25,2016,1835927.89,92978.96,594702.11,38655750.03,12505747.97,0.00,912632.53,42140.45,0.00,0.00,1014266.76,0.00,56979111.05
Wyoming,25,2016,867751.28,8871.24,0.00,11891146.57,0.00,0.00,0.00,11994.88,0.00,0.00,33033528.72,0.00,11898393.31
Alabama,25,2018,9299939.56,58458.67,13326421.17,74538061.63,39588360.19,0.00,1394188.54,5918.98,0.00,0.00,327.15,0.00,98859766.09
Arizona,25,2018,8141185.44,82714.39,14231351.69,38427099.83,30631968.00,0.00,48257.69,2886609.36,1783773.47,0.00,11833491.61,0.00,93176481.96
Arkansas,25,2018,3122326.67,7546.60,2901173.38,9058219.01,14497814.02,0.00,29463.03,5343.81,0.00,0.00,5796.42,0.00,43652380.54
California,25,2018,34941689.67,187936.49,12779867.89,2348533.22,34181323.78,95733779.14,5462335.94,8838256.03,7517294.99,1877636.38,24567237.26,0.00,288185982.64
Colorado,25,2018,1593103.59,64610.41,644114.44,30898322.75,0.00,0.00,72184.43,1475489.62,0.00,0.00,8309619.76,0.00,49856881.12
Connecticut,25,2018,396320.06,7372.00,7776662.34,1917447.65,16103324.39,0.00,2393928.86,136750.55,242242.71,0.00,0.00,0.00,34520577.79
Delaware,25,2018,0.00,30619.96,1220943.65,7189429.19,0.00,0.00,10908.08,123241.93,0.00,0.00,463489.58,0.00,9723164.19
Florida,25,2018,208412.06,3836457.64,63596107.64,67284513.38,30845403.65,0.00,7604740.51,533561.98,1416916.48,0.00,0.00,0.00,267927597.02
Georgia,25,2018,4182738.39,247962.26,26883715.28,97672480.85,32094397.44,0.00,113583.41,63074.70,0.00,0.00,120123.57,0.00,136143286.77
Idaho,25,2018,10449604.94,18841.58,19656.56,0.00,0.00,145943.13,85221.82,10231.70,0.00,0.00,1863611.45,0.00,23504562.57
Illinois,25,2018,96976.67,498260.18,1590508.96,107823262.38,90022413.31,0.00,1037873.13,76233.30,0.00,0.00,33038042.95,0.00,150237275.91
Indiana,25,2018,1236181.75,221480.24,2604685.05,84204610.76,0.00,0.00,75896.64,26470.26,0.00,0.00,15527419.34,0.00,118580115.40
Iowa,25,2018,2074243.69,16420.97,254556.89,35096172.44,4589656.93,0.00,50597.76,90506.38,0.00,0.00,34240818.98,0.00,41639631.11
Kansas,25,2018,3845.33,43445.01,0.00,35774350.52,9217257.98,0.00,0.00,129389.31,0.00,0.00,46378408.17,0.00,43530442.62
Kentucky,25,2018,3040248.78,214283.71,0.00,95802770.42,0.00,0.00,489351.01,5490.46,0.00,0.00,33742.03,0.00,74850869.46
Louisiana,25,2018,403837.67,42766.65,10512094.96,25007656.27,16790270.98,0.00,647838.87,397740.13,0.00,0.00,0.00,0.00,78068861.77
Maine,25,2018,8641300.94,10204.28,1096000.70,0.00,0.00,0.00,2084975.71,41371.41,0.00,0.00,1064936.48,0.00,12712436.33
Maryland,25,2018,1834543.72,108986.80,76176.00,29423679.50,13715216.64,0.00,1339428.60,57446.81,0.00,0.00,8693008.27,0.00,56353376.81
Massachusetts,25,2018,812127.33,33850.04,7301631.92,3081226.70,5412569.93,0.00,3324191.15,89613.74,0.00,0.00,747046.40,4822701.65,61889905.25
Michigan,25,2018,1391208.89,415209.27,4502409.34,74140676.49,31477805.57,0.00,1876377.56,17413.53,0.00,0.00,48029725.15,0.00,158896189.49
Minnesota,25,2018,16409120.80,29830.81,123235.84,24334565.30,12782423.81,0.00,1611939.86,42014.11,0.00,0.00,25927723.86,0.00,73562657.10
Mississippi,25,2018,0.00,194515.96,10016384.33,12191634.29,10007760.38,0.00,695916.02,12784.38,0.00,0.00,0.00,0.00,43289660.10
Missouri,25,2018,1526536.17,178454.32,571990.58,74158881.75,9406978.56,0.00,0.00,65104.19,0.00,0.00,1580301.08,0.00,113354747.12
Montana,25,2018,9539659.93,0.00,0.00,11572199.32,0.00,0.00,0.00,80349.84,0.00,0.00,12866418.92,0.00,14383533.57
Nebraska,25,2018,807234.00,31082.17,119011.54,23683945.97,9789107.42,0.00,35905.57,24065.13,0.00,0.00,15179813.96,0.00,24767560.47
Nevada,25,2018,2155924.44,43094.26,6038316.17,15522731.76,0.00,1836947.43,0.00,745944.78,1362778.46,136458.75,7263916.50,0.00,37884405.65
New Hampshire,25,2018,1094256.22,0.00,453120.36,363273.86,9644919.78,0.00,915803.94,14395.18,8431.38,0.00,124640.73,0.00,9719656.81
New Jersey,25,2018,29771.06,117826.08,6077945.84,14282883.25,31493615.62,0.00,2017219.76,293969.16,0.00,0.00,1312715.40,0.00,94514246.10
New Mexico,25,2018,203969.06,26353.28,172025.28,27901507.60,0.00,819068.58,47140.85,275747.43,2161879.54,381618.69,27358945.04,0.00,41905212.99
New York,25,2018,32549367.33,394584.92,16103150.93,28451502.25,40712454.60,0.00,4155686.48,492294.08,0.00,0.00,13649475.96,0.00,160716339.31
North Carolina,25,2018,4621919.17,187377.99,1378984.09,66311907.76,39035008.51,0.00,3353563.61,149517.62,0.00,0.00,8132627.23,0.00,123155453.83
North Dakota,25,2018,3948212.81,0.00,0.00,18835020.51,0.00,0.00,0.00,3453.20,0.00,0.00,16838143.86,0.00,13761993.19
Ohio,25,2018,500949.67,201951.53,4787069.89,152163087.93,16663790.59,0.00,81494.70,10679.74,0.00,0.00,1799146.48,0.00,158696370.69
Oklahoma,25,2018,2608900.50,21971.79,5694295.93,39160253.74,0.00,0.00,0.00,81269.33,0.00,0.00,19016879.68,0.00,71311141.73
Oregon,25,2018,36950715.67,8110.03,2112501.64,4335411.60,0.00,744607.80,400832.10,205164.93,0.00,0.00,8998280.85,0.00,58378382.45
Pennsylvania,25,2018,2265275.39,145282.92,9151249.18,130133231.20,72686695.68,0.00,3345307.61,374192.73,0.00,0.00,6788578.08,0.00,191893156.61
Rhode Island,25,2018,9787.33,0.00,6885154.55,0.00,0.00,0.00,298373.13,72681.35,979327.64,0.00,56542.90,0.00,12725208.32
South Carolina,25,2018,2584177.11,94479.42,3866933.86,38976289.41,51161315.33,0.00,1672541.15,26776.81,0.00,0.00,3333917.34,0.00,89914247.12
South Dakota,25,2018,5109845.50,8747.15,0.00,925525.51,0.00,0.00,0.00,8702.88,0.00,0.00,16027656.30,0.00,12858627.17
Tennessee,25,2018,9100500.00,143548.47,0.00,38058223.57,26861271.55,0.00,1452911.54,8573.71,0.00,0.00,111453.26,0.00,153224159.65
Texas,25,2018,1413257.72,15752689.57,113673849.15,146422579.70,38418416.64,0.00,1016185.16,863005.09,3740561.97,0.00,53813544.64,0.00,404236719.44
Utah,25,2018,720236.78,27075.65,218365.78,35098232.45,0.00,1265833.25,11068.26,24455.72,0.00,0.00,2451060.19,0.00,32173095.52
Vermont,25,2018,41689222.59,0.00,0.00,0.00,3754653.09,0.00,485022.33,15939.22,0.00,0.00,15843.01,0.00,7373568.49
Virginia,25,2018,1036922.50,135844.53,3176236.26,23829479.64,27130042.37,0.00,1344371.39,44968.04,0.00,0.00,6387472.66,0.00,132055880.16
Washington,25,2018,79045542.22,0.00,125293.33,10412398.80,8940582.14,0.00,1310733.76,903001.39,0.00,0.00,13577997.29,0.00,93549541.17
West Virginia,25,2018,693700.00,49993.80,0.00,107948043.36,0.00,0.00,0.00,1943.10,0.00,0.00,5090095.06,0.00,42553438.57
Wisconsin,25,2018,1835927.89,87666.89,459329.09,37610096.39,12505747.97,0.00,912632.53,112659.08,0.00,0.00,5135798.39,0.00,57676958.52
Wyoming,25,2018,867751.28,8871.24,0.00,12117711.16,0.00,0.00,0.00,27530.98,0.00,0.00,33033528.72,0.00,12124245.49
Alabama,25,2020,9299939.56,54891.65,19506017.60,68359453.70,39588360.19,0.00,1394188.54,6086.35,0.00,0.00,995.51,0.00,100201266.86
Arizona,25,2020,8141185.44,71089.39,12083910.32,37829557.72,30631968.00,0.00,48257.69,4335960.71,1783773.47,0.00,11833491.61,0.00,95424233.32
Arkansas,25,2020,3122326.67,7224.56,3834375.48,7854884.40,14497814.02,0.00,29463.03,8343.33,0.00,0.00,194158.17,0.00,44255708.91
California,25,2020,34941689.67,162731.07,9695612.52,2348533.22,34181323.78,118630061.58,5462335.94,10744975.86,8316114.36,1877636.38,24567237.26,0.00,292845634.54
Colorado,25,2020,1593103.59,77639.31,1205017.25,30791057.54,0.00,0.00,72184.43,2224311.79,0.00,0.00,8309619.76,0.00,51061004.29
Connecticut,25,2020,396320.06,7372.00,5485169.43,1917447.65,16103324.39,0.00,2393928.86,180578.14,242242.71,0.00,0.00,0.00,34819776.91
Delaware,25,2020,0.00,30388.89,1025689.60,7189429.19,0.00,0.00,10908.08,170320.31,0.00,0.00,463489.58,0.00,9802511.10
Florida,25,2020,208412.06,4020287.77,65552872.66,66352977.77,30845403.65,0.00,7604740.51,561890.56,2887940.32,0.00,0.00,0.00,273668048.24
Georgia,25,2020,4182738.39,243927.06,27155935.71,96221210.95,32094397.44,0.00,1568291.11,66097.50,0.00,0.00,120123.57,0.00,138065985.46
Idaho,25,2020,10449604.94,11546.86,530.98,0.00,0.00,145943.13,85221.82,12059.50,0.00,0.00,1863611.45,0.00,23894596.10
Illinois,25,2020,96976.67,557421.70,1195029.67,99214639.15,90022413.31,0.00,1037873.13,103757.94,0.00,0.00,45189217.83,0.00,151829468.73
Indiana,25,2020,1236181.75,169951.57,2747425.40,68894402.87,0.00,0.00,635496.78,43997.45,0.00,0.00,34812427.03,0.00,119704228.23
Iowa,25,2020,2074243.69,13389.75,244346.34,35234489.67,4589656.93,0.00,50597.76,154777.57,0.00,0.00,43024389.52,0.00,42137308.81
Kansas,25,2020,3845.33,41113.77,0.00,37968854.93,9217257.98,0.00,0.00,217786.66,0.00,0.00,59320995.06,0.00,44099845.46
Kentucky,25,2020,3040248.78,253971.27,0.00,94246734.63,0.00,0.00,695390.07,8069.24,0.00,0.00,40734.78,0.00,75615457.86
Louisiana,25,2020,403837.67,42682.59,10737608.79,23230128.80,16790270.98,0.00,647838.87,589391.22,0.00,0.00,0.00,0.00,79143353.46
Maine,25,2020,8649300.94,10204.28,1519191.00,147016.00,0.00,0.00,2084975.71,52756.75,0.00,0.00,1064936.48,0.00,12823490.07
Maryland,25,2020,1834543.72,109247.34,60940.80,29552308.22,13715216.64,0.00,1339428.60,68871.27,0.00,0.00,10047272.39,0.00,56845170.94
Massachusetts,25,2020,812127.33,33551.74,7223034.01,3184156.85,5412569.93,0.00,3446157.31,107821.13,2974.60,0.00,747046.40,6548323.36,62430232.95
Michigan,25,2020,1391208.89,293922.71,3441931.60,68520713.53,31477805.57,0.00,1876377.56,23010.04,0.00,0.00,57700485.31,0.00,160441091.24
Minnesota,25,2020,15794960.34,37218.25,115075.07,24598329.88,12782423.81,0.00,1611939.86,44078.06,0.00,0.00,33317673.61,0.00,74455632.38
Mississippi,25,2020,0.00,201955.08,11601870.75,10611389.67,10007760.38,0.00,1021743.05,18371.92,0.00,0.00,0.00,0.00,43891471.25
Missouri,25,2020,1526536.17,158234.74,746816.92,63441123.05,9406978.56,0.00,0.00,98681.43,0.00,0.00,1657970.58,0.00,114634726.54
Montana,25,2020,9539659.93,0.00,0.00,11009616.98,0.00,0.00,0.00,103293.91,0.00,0.00,14082909.80,0.00,14615633.64
Nebraska,25,2020,807234.00,28962.72,104626.20,23683945.97,9789107.42,0.00,35905.57,38454.17,0.00,0.00,18327331.83,0.00,25063422.12
Nevada,25,2020,2155924.44,39323.51,5848608.27,14667508.69,0.00,1836947.43,0.00,1092891.63,1362778.46,136458.75,7263916.50,0.00,38687172.52
New Hampshire,25,2020,1094256.22,0.00,904611.19,11553.47,9644919.78,0.00,915803.94,15826.73,8431.38,0.00,124640.73,0.00,9812100.03
New Jersey,25,2020,29771.06,108965.92,5388870.40,14208668.40,31493615.62,0.00,2017219.76,317466.43,0.00,0.00,1315386.28,0.00,95284273.74
New Mexico,25,2020,203969.06,25676.55,216547.25,29207947.38,0.00,832471.52,47140.85,361454.81,2161879.54,381618.69,29814898.72,0.00,42816059.27
New York,25,2020,32619367.33,433542.63,17700839.55,28451502.25,40712454.60,0.00,4155686.48,653131.29,0.00,0.00,15383628.64,0.00,161154922.75
North Carolina,25,2020,4621919.17,182820.63,1250212.36,63712837.03,39035008.51,0.00,4596157.67,185493.01,0.00,0.00,9420290.14,0.00,124907687.86
North Dakota,25,2020,4599373.27,0.00,0.00,19946008.34,0.00,0.00,0.00,3579.46,0.00,0.00,18793140.01,0.00,13921713.49
Ohio,25,2020,500949.67,183050.64,4785009.44,151026253.69,16663790.59,0.00,1242220.30,11423.17,0.00,0.00,1799146.48,0.00,160242426.47
Oklahoma,25,2020,2608900.50,43266.63,5407286.09,39160253.74,0.00,0.00,0.00,126458.90,0.00,0.00,28130416.82,0.00,72228867.88
Oregon,25,2020,36950715.67,7850.66,769792.05,4335411.60,0.00,924505.04,400832.10,284952.83,0.00,0.00,9005716.24,0.00,59345036.76
Pennsylvania,25,2020,2265275.39,141115.86,9218333.20,128313583.22,72686695.68,0.00,3345307.61,398547.76,0.00,0.00,10441608.76,0.00,193441847.96
Rhode Island,25,2020,9787.33,0.00,4948987.06,0.00,0.00,0.00,308074.98,102250.90,979327.64,0.00,56542.90,0.00,12832216.56
South Carolina,25,2020,2584177.11,91054.03,5135141.34,38985219.84,51161315.33,0.00,2202406.65,30792.06,0.00,0.00,3691608.80,0.00,91143608.87
South Dakota,25,2020,5109845.50,6207.07,0.00,1359698.28,0.00,0.00,0.00,13104.12,0.00,0.00,19337850.23,0.00,13018400.50
Tennessee,25,2020,9100500.00,139054.05,0.00,35761480.84,26861271.55,0.00,1452911.54,9419.88,0.00,0.00,111453.26,0.00,155297751.45
Texas,25,2020,1413257.72,7568414.54,92282282.36,146884610.20,38418416.64,0.00,1016185.16,1035539.88,6368735.87,0.00,58564856.78,0.00,409343012.77
Utah,25,2020,720236.78,32082.90,142159.87,35098232.45,0.00,9779224.79,11068.26,31027.51,0.00,0.00,2451060.19,0.00,32717967.85
Vermont,25,2020,42342314.26,0.00,0.00,0.00,3999942.14,0.00,521717.15,16352.77,0.00,0.00,15843.01,0.00,7436075.25
Virginia,25,2020,1036922.50,169542.95,3230147.43,23326855.86,27130042.37,0.00,1545427.97,50016.18,0.00,0.00,8209715.71,0.00,133791674.53
Washington,25,2020,78845542.22,0.00,58708.45,8389275.49,8940582.14,0.00,2123187.23,1385664.28,0.00,0.00,14135782.29,0.00,95108700.91
West Virginia,25,2020,693700.00,49993.80,0.00,107548867.51,0.00,0.00,400121.43,2036.43,0.00,0.00,5090095.06,0.00,42947768.26
Wisconsin,25,2020,1835927.89,126766.30,584771.01,25593464.76,12505747.97,0.00,912632.53,144075.72,0.00,0.00,13349122.79,0.00,58313334.67
Wyoming,25,2020,867751.28,7693.64,0.00,11841441.10,0.00,0.00,0.00,40403.83,0.00,0.00,33510686.82,0.00,12318833.28
Alabama,25,2022,9299939.56,0.00,4410194.61,65602602.50,39588360.19,0.00,1450771.51,6778.76,0.00,0.00,995.51,0.00,100751446.40
Arizona,25,2022,8141185.44,68563.71,7180427.74,27463464.96,30631968.00,0.00,400672.18,6449362.32,3820366.44,1199156.80,12794087.85,0.00,96898362.53
Arkansas,25,2022,3122326.67,0.00,1464124.80,5186448.70,14497814.02,0.00,564343.33,14385.22,0.00,0.00,194158.17,0.00,44509249.93
California,25,2022,34941689.67,0.00,3115964.00,1675923.81,34181323.78,118630061.58,5462335.94,13127888.09,12333796.40,3125440.38,25698804.96,0.00,295887917.11
Colorado,25,2022,1593103.59,13314.29,261442.39,26334188.18,0.00,0.00,270901.40,3323074.51,0.00,0.00,10039989.33,0.00,51848631.60
Connecticut,25,2022,396320.06,0.00,4792566.66,1435083.40,16103324.39,0.00,2454564.51,236161.05,242242.71,0.00,0.00,0.00,34844580.84
Delaware,25,2022,0.00,0.00,541015.20,7565644.41,0.00,0.00,10908.08,227459.63,0.00,0.00,463489.58,0.00,9810030.75
Florida,25,2022,208412.06,415334.93,89360619.61,64312087.22,30845403.65,0.00,12733118.68,652785.86,5006214.64,0.00,0.00,0.00,277159009.70
Georgia,25,2022,4182738.39,302257.55,43727238.38,96221210.95,32094397.44,0.00,1568291.11,70354.91,0.00,0.00,120123.57,0.00,138925339.94
Idaho,25,2022,10449604.94,0.00,398.24,0.00,0.00,145943.13,85221.82,15776.42,0.00,0.00,1902654.35,0.00,24151371.24
Illinois,25,2022,96976.67,291914.71,2190487.62,82520947.08,90022413.31,0.00,1564468.76,143807.32,0.00,0.00,49811097.67,0.00,152425641.18
Indiana,25,2022,1236181.75,203041.48,2738569.65,55991034.92,0.00,0.00,649981.01,75091.81,0.00,0.00,46320238.23,0.00,120011499.26
Iowa,25,2022,3978881.41,0.00,402409.65,32622501.77,4589656.93,0.00,338871.09,247892.89,0.00,0.00,52370934.22,0.00,42387575.30
Kansas,25,2022,3845.33,38782.54,0.00,36063485.98,9217257.98,0.00,1222890.14,344233.75,1589422.86,0.00,65504060.14,0.00,44281618.37
Kentucky,25,2022,3040248.78,397522.90,976229.41,93655926.68,0.00,0.00,837068.96,12655.81,0.00,0.00,40734.78,0.00,75852208.79
Louisiana,25,2022,403837.67,42598.52,5404550.40,23613928.78,16790270.98,0.00,795410.39,828719.40,0.00,0.00,0.00,0.00,79597559.21
Maine,25,2022,8649300.94,0.00,488269.61,69665.44,0.00,0.00,2084975.71,70604.79,0.00,0.00,1064936.48,0.00,12833483.35
Maryland,25,2022,1834543.72,0.00,7443071.78,24495157.37,13715216.64,0.00,1341868.85,97656.45,0.00,0.00,10047272.39,0.00,56930816.71
Massachusetts,25,2022,812127.33,32308.89,1982315.13,1312973.56,5412569.93,0.00,3643367.32,134295.84,2974.60,0.00,747046.40,6548323.36,62479978.28
Michigan,25,2022,1391208.89,166047.37,3293446.20,69066544.42,31477805.57,0.00,2018427.93,37530.30,0.00,0.00,63927655.82,0.00,160900848.60
Minnesota,25,2022,15951170.42,0.00,106914.30,21033908.65,12782423.81,0.00,1611939.86,47054.43,0.00,0.00,36968515.06,0.00,74917974.06
Mississippi,25,2022,0.00,21347.95,5354501.05,10622260.43,10007760.38,0.00,1025346.53,25312.28,0.00,0.00,0.00,0.00,44151364.24
Missouri,25,2022,1526536.17,184792.35,745699.50,60091177.11,9406978.56,0.00,734724.99,148437.99,0.00,0.00,1657970.58,0.00,115052657.48
Montana,25,2022,9539659.93,0.00,0.00,6779813.92,0.00,0.00,0.00,140072.68,0.00,0.00,15431955.93,0.00,14764722.33
Nebraska,25,2022,807234.00,32512.23,111698.86,23524534.29,9789107.42,0.00,195694.87,61705.95,0.00,0.00,18327331.83,0.00,25213023.25
Nevada,25,2022,2155924.44,8105.80,2336478.20,9612106.47,0.00,30488807.61,196963.98,1642353.77,1362778.46,548716.04,8871411.76,0.00,39220012.30
New Hampshire,25,2022,1094256.22,0.00,467036.16,4379.81,9644919.78,0.00,1425188.18,17808.06,8431.38,0.00,124640.73,0.00,9830023.72
New Jersey,25,2022,29771.06,126242.52,1825612.82,14417347.98,31493615.62,0.00,2248202.72,349119.09,0.00,0.00,1315386.28,0.00,95356397.74
New Mexico,25,2022,203969.06,40977.73,168713.28,27267700.36,0.00,9422170.91,192630.29,472647.51,2563782.32,588113.79,29814898.72,0.00,43362070.34
New York,25,2022,32619367.33,356860.84,18621808.09,28451502.25,40712454.60,0.00,4155818.93,883893.36,0.00,0.00,16593246.91,0.00,160439099.28
North Carolina,25,2022,4621919.17,150788.83,605692.43,54635939.30,39035008.51,0.00,4596157.67,258041.44,0.00,0.00,9420290.14,0.00,125700996.87
North Dakota,25,2022,4443163.20,0.00,0.00,17007316.21,0.00,0.00,541559.50,3802.69,0.00,0.00,18793140.01,0.00,13997775.00
Ohio,25,2022,500949.67,361993.14,985239.55,149580038.22,16663790.59,0.00,1242220.30,12927.28,0.00,0.00,1799146.48,0.00,160704213.37
Oklahoma,25,2022,2608900.50,40776.59,4289092.99,39141950.81,0.00,0.00,149093.85,217416.36,664622.80,0.00,36836220.48,0.00,72507715.83
Oregon,25,2022,36950715.67,7850.66,125310.93,3283567.71,0.00,8781473.78,400832.10,396300.36,0.00,0.00,9346838.23,0.00,59977257.75
Pennsylvania,25,2022,2265275.39,80264.05,36671243.39,114389611.43,72686695.68,0.00,3807486.46,431607.02,0.00,0.00,10493666.77,0.00,193562150.91
Rhode Island,25,2022,9787.33,0.00,8067900.32,0.00,0.00,0.00,347523.05,144120.23,982173.73,0.00,56542.90,0.00,12837101.72
South Carolina,25,2022,2584177.11,114867.43,1151348.80,39008136.89,51161315.33,0.00,2268826.45,45548.80,0.00,0.00,3691608.80,0.00,91656180.38
South Dakota,25,2022,5109845.50,5917.58,0.00,579827.50,0.00,0.00,5660.04,21681.44,0.00,0.00,20403511.66,0.00,13101604.36
Tennessee,25,2022,9100500.00,273214.14,0.00,30803837.59,26861271.55,0.00,1452911.54,11328.50,0.00,0.00,153490.47,0.00,156142114.80
Texas,25,2022,1413257.72,1313333.50,89152259.39,146353947.29,38418416.64,0.00,2099568.91,1372441.21,10180518.50,0.00,58564856.78,0.00,410536517.83
Utah,25,2022,720236.78,7627.13,32056.97,30025330.42,0.00,9779224.79,274400.76,46799.82,0.00,0.00,2941566.06,0.00,33083373.09
Vermont,25,2022,42350361.64,0.00,0.00,0.00,3999942.14,0.00,498019.15,17567.06,0.00,0.00,15843.01,0.00,7439393.42
Virginia,25,2022,1036922.50,251804.64,15455408.61,19580121.10,27130042.37,0.00,2550490.54,62416.19,0.00,0.00,11265349.67,0.00,134509449.24
Washington,25,2022,78845542.22,0.00,69170.55,8389275.49,8940582.14,0.00,2123187.23,2085133.58,0.00,0.00,14372793.48,0.00,96135357.00
West Virginia,25,2022,693700.00,91840.13,0.00,107548867.51,0.00,0.00,400121.43,2272.64,0.00,0.00,5090095.06,0.00,43044898.45
Wisconsin,25,2022,2017902.34,21175.75,657946.83,14294659.36,12505747.97,0.00,1221703.09,191578.54,0.00,0.00,14243229.26,0.00,58575724.10
Wyoming,25,2022,867751.28,0.00,0.00,7950625.62,0.00,0.00,65588.27,59817.68,0.00,0.00,35919494.31,0.00,12442041.75
Alabama,25,2024,9299939.56,0.00,5699714.64,71256721.19,39588360.19,0.00,5438601.64,8540.57,0.00,0.00,3337.77,0.00,101332665.15
Arizona,25,2024,8141185.44,61912.90,6740853.21,20701604.79,30631968.00,0.00,402452.48,6620868.17,5572412.79,3221385.11,15715152.33,0.00,98633349.67
Arkansas,25,2024,3122326.67,0.00,3089511.79,4684024.38,14497814.02,0.00,564343.33,22951.05,0.00,0.00,947279.06,0.00,44784472.08
California,25,2024,34941689.67,0.00,2662088.27,1264661.06,34181323.78,118630061.58,5462335.94,15639365.32,18389854.09,4926216.80,29217668.76,0.00,299128571.97
Colorado,25,2024,1593103.59,15033.45,248285.46,24406805.31,0.00,0.00,270901.40,3410198.56,0.00,0.00,12680478.93,0.00,52776721.72
Connecticut,25,2024,396320.06,0.00,2659891.29,1437824.58,16103324.39,0.00,2454564.51,302880.49,841125.15,0.00,0.00,0.00,34911351.41
Delaware,25,2024,0.00,0.00,505080.00,7191221.89,0.00,0.00,10908.08,237774.85,0.00,0.00,463489.58,0.00,9828876.72
Florida,25,2024,208412.06,518074.97,89412058.33,67441944.12,30845403.65,0.00,13566640.24,857333.39,9268965.70,0.00,0.00,0.00,280843939.49
Georgia,25,2024,4182738.39,265390.01,27245354.45,88783056.16,32094397.44,0.00,7746645.53,76570.76,0.00,0.00,141654.79,0.00,139864928.28
Idaho,25,2024,10449604.94,0.00,19258.32,0.00,0.00,145943.13,85221.82,15868.03,0.00,0.00,2753286.77,0.00,24448189.08
Illinois,25,2024,96976.67,61645.02,2250038.54,72485528.03,90022413.31,0.00,1564468.76,183497.67,0.00,0.00,60531714.64,0.00,153053241.05
Indiana,25,2024,1236181.75,657442.10,2197305.97,47848629.48,0.00,0.00,649981.01,117341.33,0.00,0.00,50754103.81,0.00,120332211.28
Iowa,25,2024,3978881.41,0.00,445444.21,28443335.54,4589656.93,0.00,338871.09,337952.17,0.00,0.00,53693240.54,0.00,42642106.45
Kansas,25,2024,3845.33,43303.39,0.00,30253369.75,9217257.98,0.00,1222890.14,457649.24,1589422.86,0.00,70482333.51,0.00,44488782.47
Kentucky,25,2024,3040248.78,286603.99,723889.27,93347398.62,0.00,0.00,841563.46,18913.29,0.00,0.00,40734.78,0.00,76102122.58
Louisiana,25,2024,403837.67,42514.45,5441684.80,22311946.13,16790270.98,0.00,1571879.61,870968.35,0.00,0.00,0.00,0.00,80082169.75
Maine,25,2024,8649300.94,0.00,364484.57,75844.42,0.00,0.00,2084975.71,93163.27,0.00,0.00,1064936.48,0.00,12859307.55
Maryland,25,2024,1834543.72,0.00,6462786.49,27468670.47,13715216.64,0.00,1344364.62,144876.81,0.00,0.00,10264217.38,0.00,57087435.81
Massachusetts,25,2024,812127.33,0.00,1555998.83,1346346.28,5412569.93,0.00,3643367.32,168424.12,5866.17,0.00,747046.40,6548323.36,62606817.10
Michigan,25,2024,1391208.89,215388.94,2907897.48,51804024.08,31477805.57,0.00,2018427.93,62646.12,0.00,0.00,89439492.86,0.00,161386707.08
Minnesota,25,2024,14230005.29,4290.78,100161.27,12880643.58,12782423.81,0.00,1611939.86,50167.51,0.00,0.00,47951880.58,0.00,75397442.66
Mississippi,25,2024,0.00,3329.51,4910212.51,12001130.29,10007760.38,0.00,1219061.06,26828.88,0.00,0.00,0.00,0.00,44430619.23
Missouri,25,2024,1526536.17,288637.99,703820.24,55240101.54,9406978.56,0.00,734724.99,201067.99,0.00,0.00,6708243.50,0.00,115494847.18
Montana,25,2024,9539659.93,0.00,0.00,3986842.18,0.00,0.00,0.00,141124.23,0.00,0.00,18758622.14,0.00,14935505.11
Nebraska,25,2024,807234.00,31400.49,100594.25,22813477.03,9789107.42,0.00,195694.87,83178.62,0.00,0.00,21404537.81,0.00,25366084.55
Nevada,25,2024,2155924.44,5403.87,1778132.46,7029700.60,0.00,30488807.61,196963.98,1773973.17,1362778.46,548716.04,10264528.06,0.00,39845894.67
New Hampshire,25,2024,1094256.22,0.00,467036.16,4420.58,9644919.78,0.00,1425188.18,20641.51,8431.38,0.00,124640.73,0.00,9863747.02
New Jersey,25,2024,29771.06,226604.36,1619228.85,13978231.31,31493615.62,0.00,2248202.72,400308.59,0.00,0.00,1315386.28,1288593.43,95535897.67
New Mexico,25,2024,203969.06,39898.64,167057.28,24659442.10,0.00,9422170.91,251227.04,577550.40,2563782.32,1151561.92,30215563.08,0.00,43996779.78
