state,scenario,year,hydro,gas_ct,gas_cc,coal,nuclear,geothermal,biomass,rooftop_pv,utility_pv,csp,onshore_wind,offshore_wind,load
Vermont,25,2010,23626575.56,0.00,0.00,0.00,3999942.14,0.00,530334.60,399.31,0.00,0.00,15843.01,0.00,7092834.02
Virginia,25,2010,1036922.50,118329.45,7036029.71,23374164.46,27130042.37,0.00,1344371.39,174.05,0.00,0.00,0.00,0.00,122892264.08
Washington,25,2010,78095542.22,29523.25,4778562.88,10412398.80,8940582.14,0.00,1310733.76,9486.30,0.00,0.00,4865949.61,0.00,86393590.71
West Virginia,25,2010,693700.00,49993.80,0.00,107948043.36,0.00,0.00,0.00,0.00,0.00,0.00,871892.73,0.00,40316205.61
Wisconsin,25,2010,1835927.89,70605.23,1335534.76,51171418.94,12505747.97,0.00,912632.53,207.26,0.00,0.00,959076.43,0.00,54589302.74
Wyoming,25,2010,867751.28,8500.57,0.00,11205590.10,0.00,0.00,0.00,89.09,0.00,0.00,2901969.65,0.00,11205590.10
Alabama,25,2012,9299939.56,106083.85,8027943.31,72877361.20,39588360.19,0.00,0.00,217.45,0.00,0.00,0.00,0.00,94593000.22
Arizona,25,2012,8141185.44,99983.49,45603034.94,39737567.52,30631968.00,0.00,48257.69,159146.51,1106321.95,0.00,3380866.77,0.00,86108295.10
Arkansas,25,2012,3122326.67,8512.72,2169655.94,16504855.51,14497814.02,0.00,29463.03,145.32,0.00,0.00,0.00,0.00,41730247.68
California,25,2012,34941689.67,347514.24,38864060.23,2348533.22,34181323.78,17709379.53,5462335.94,1263784.87,1669172.22,903487.89,24567237.26,0.00,275149890.23
Colorado,25,2012,1593103.59,80193.35,3034663.95,36200506.63,0.00,0.00,72184.43,66295.60,0.00,0.00,7264789.89,0.00,46106901.35
Connecticut,25,2012,396320.06,20340.46,6696670.25,3914502.84,16103324.39,0.00,1893282.36,15789.28,0.00,0.00,0.00,0.00,33773723.19
Delaware,25,2012,0.00,6960.72,856397.53,7194445.28,0.00,0.00,0.00,12265.29,0.00,0.00,463489.58,0.00,9463074.99
Florida,25,2012,208412.06,7163170.72,42462380.46,70796843.72,30845403.65,0.00,6437714.63,48832.81,67945.38,0.00,0.00,0.00,250760254.13
Georgia,25,2012,4182738.39,260067.86,14387410.16,90689987.54,32094397.44,0.00,18974.16,10105.89,0.00,0.00,0.00,0.00,130144645.53
Idaho,25,2012,10449604.94,18841.58,323361.48,0.00,0.00,145943.13,85221.82,1247.70,0.00,0.00,1863405.69,0.00,22332600.01
Illinois,25,2012,96976.67,545169.60,3486976.63,113119855.91,90022413.31,0.00,1037873.13,7295.24,0.00,0.00,6815867.71,0.00,146390124.85
Indiana,25,2012,448684.33,114461.29,2884242.77,133735123.21,0.00,0.00,75896.64,1195.84,0.00,0.00,3485522.01,0.00,115767531.90
Iowa,25,2012,2074243.69,32293.37,303317.37,42279526.80,4589656.93,0.00,50597.76,4066.54,0.00,0.00,12749390.67,0.00,40589647.44
Kansas,25,2012,3845.33,50438.71,0.00,38906057.81,9217257.98,0.00,0.00,5864.21,0.00,0.00,12945947.34,0.00,41560602.42
Kentucky,25,2012,3040248.78,201168.18,0.00,97355583.05,0.00,0.00,75896.64,127.65,0.00,0.00,812.71,0.00,72832270.51
Louisiana,25,2012,403837.67,43018.85,9358848.13,24153894.41,16790270.98,0.00,89862.25,31836.69,0.00,0.00,0.00,0.00,74674007.60
Maine,25,2012,2640300.94,10502.61,6136379.37,629931.60,0.00,0.00,2084975.71,4103.75,0.00,0.00,1064936.48,0.00,12436095.25
Maryland,25,2012,1834543.72,46531.44,121881.60,29476352.30,13715216.64,0.00,932105.61,10249.26,0.00,0.00,5675950.31,0.00,54819150.39
Massachusetts,25,2012,812127.33,8488.49,11642524.51,12850382.31,5412569.93,0.00,2251581.01,9274.73,0.00,0.00,747046.40,0.00,60544702.16
Michigan,25,2012,1391208.89,246730.38,16450592.09,87057065.89,31477805.57,0.00,1876377.56,201.73,0.00,0.00,2160245.18,0.00,155056204.49
Minnesota,25,2012,20123042.52,4757.03,147718.14,39183005.38,12782423.81,0.00,1611939.86,6240.03,0.00,0.00,9105830.12,0.00,71692036.78
Mississippi,25,2012,0.00,155444.13,6664444.89,16935910.26,10007760.38,0.00,0.00,905.72,0.00,0.00,0.00,0.00,41394532.45
Missouri,25,2012,1526536.17,154257.30,949413.75,76126837.37,9406978.56,0.00,0.00,3491.08,0.00,0.00,811576.01,0.00,109621595.10
Montana,25,2012,9539659.93,0.00,0.00,13684078.10,0.00,0.00,0.00,1779.63,0.00,0.00,7833650.39,0.00,13696186.34
Nebraska,25,2012,807234.00,30657.53,174992.56,23683945.97,9789107.42,0.00,35905.57,810.87,0.00,0.00,3349177.39,0.00,24143636.00
Nevada,25,2012,2155924.44,62523.08,21437298.96,19690920.72,0.00,1836947.43,0.00,31893.37,0.00,129293.83,4730771.43,0.00,35407880.80
New Hampshire,25,2012,1094256.22,0.00,467036.16,4262043.10,9644919.78,0.00,915803.94,609.76,0.00,0.00,124640.73,0.00,9496714.89
New Jersey,25,2012,29771.06,151571.92,5947365.10,14575908.58,31493615.62,0.00,1565491.21,148449.58,0.00,0.00,1312715.40,0.00,91976584.81
New Mexico,25,2012,203969.06,95744.84,506548.25,29324427.62,0.00,819068.58,47140.85,21059.06,2012245.95,381618.69,8306312.44,0.00,38986753.08
New York,25,2012,28789367.33,549586.05,15367782.22,29862982.09,40712454.60,0.00,2404200.88,87713.96,0.00,0.00,11652215.25,0.00,158471906.38
North Carolina,25,2012,4621919.17,196805.97,828851.44,73699396.46,39035008.51,0.00,696314.41,26627.50,0.00,0.00,800306.44,0.00,117727417.81
North Dakota,25,2012,2590291.09,0.00,0.00,29104147.10,0.00,0.00,0.00,478.48,0.00,0.00,10001529.89,0.00,13424468.25
Ohio,25,2012,500949.67,199210.36,4543046.39,162895346.08,16663790.59,0.00,81494.70,735.30,0.00,0.00,1799146.48,0.00,154860493.52
Oklahoma,25,2012,2608900.50,25558.85,10235702.57,39160253.74,0.00,0.00,0.00,5841.05,0.00,0.00,7464947.67,0.00,68109646.64
Oregon,25,2012,36950715.67,9280.39,6475263.31,4335411.60,0.00,744607.80,400832.10,73052.42,0.00,0.00,7586238.15,0.00,55486279.28
Pennsylvania,25,2012,2265275.39,75358.30,7601353.38,129035897.57,72686695.68,0.00,2658967.65,82730.63,0.00,0.00,5179147.35,0.00,187006362.45
Rhode Island,25,2012,9787.33,0.00,9680559.84,0.00,0.00,0.00,228378.76,4304.46,0.00,0.00,56542.90,0.00,12455445.45
South Carolina,25,2012,2584177.11,104755.60,2035476.80,40511994.50,51161315.33,0.00,71153.10,660.85,0.00,0.00,92708.61,0.00,86025021.94
South Dakota,25,2012,5109845.50,9494.28,0.00,3572823.82,0.00,0.00,0.00,429.61,0.00,0.00,10130655.15,0.00,12497645.08
