,ZIP,State,Sun,Houses,Solar Fraction,Solar Houses
124,01373,MA,4.38,1466,0.018237976173,27.0
125,01375,MA,4.38,747,0.018237976173,14.0
126,01376,MA,4.38,1095,0.018237976173,20.0
127,01378,MA,4.34,412,0.018237976173,8.0
128,01379,MA,4.34,391,0.018237976173,7.0
129,01420,MA,4.52,7084,0.018237976173,129.0
130,01430,MA,4.5,2539,0.018237976173,46.0
131,01431,MA,4.55,1113,0.018237976173,20.0
132,01432,MA,4.48,1360,0.018237976173,25.0
133,01434,MA,4.48,96,0.018237976173,2.0
134,01436,MA,4.48,1024,0.018237976173,19.0
135,01440,MA,4.51,4354,0.018237976173,79.0
136,01450,MA,4.48,3668,0.018237976173,67.0
137,01451,MA,4.48,1755,0.018237976173,32.0
138,01452,MA,4.52,1403,0.018237976173,26.0
139,01453,MA,4.52,8189,0.018237976173,149.0
140,01460,MA,4.48,2979,0.018237976173,54.0
141,01462,MA,4.49,3658,0.018237976173,67.0
142,01463,MA,4.5,3255,0.018237976173,59.0
143,01464,MA,4.49,1346,0.018237976173,25.0
144,01468,MA,4.48,1415,0.018237976173,26.0
145,01469,MA,4.54,2292,0.018237976173,42.0
146,01473,MA,4.52,2580,0.018237976173,47.0
147,01474,MA,4.55,609,0.018237976173,11.0
148,01475,MA,4.46,3220,0.018237976173,59.0
149,01501,MA,4.55,5113,0.018237976173,93.0
150,01503,MA,4.51,882,0.018237976173,16.0
151,01504,MA,4.55,2107,0.018237976173,38.0
152,01505,MA,4.53,1477,0.018237976173,27.0
153,01506,MA,4.51,953,0.018237976173,17.0
154,01507,MA,4.52,3792,0.018237976173,69.0
155,01510,MA,4.51,2757,0.018237976173,50.0
156,01515,MA,4.51,711,0.018237976173,13.0
157,01516,MA,4.51,2618,0.018237976173,48.0
158,01518,MA,4.52,942,0.018237976173,17.0
159,01519,MA,4.53,1647,0.018237976173,30.0
160,01520,MA,4.53,4665,0.018237976173,85.0
161,01521,MA,4.55,1370,0.018237976173,25.0
162,01522,MA,4.53,976,0.018237976173,18.0
163,01523,MA,4.49,2014,0.018237976173,37.0
164,01524,MA,4.55,2061,0.018237976173,38.0
165,01527,MA,4.54,3540,0.018237976173,65.0
166,01529,MA,4.55,731,0.018237976173,13.0
167,01531,MA,4.36,363,0.018237976173,7.0
168,01532,MA,4.53,4036,0.018237976173,74.0
169,01534,MA,4.54,1223,0.018237976173,22.0
170,01535,MA,4.46,1271,0.018237976173,23.0
